states_or_union_territories,district,year,murder,rape,kidnapping_and_abduction_of_women_and_girls,kidnapping_and_abduction_of_others,dacoity,robbery,thefts,riots,criminal_breach_of_trust,cheating,arson,hurt_or_grievous_hurt,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,causing_death_by_negligence,total_ipc_crimes
ANDHRA PRADESH,ADILABAD,2001,101.0,50.0,30.0,16.0,9.0,41.0,199.0,78.0,16.0,104.0,30.0,1131.0,16.0,149.0,34.0,175.0,181.0,4154.0
ANDHRA PRADESH,ANANTAPUR,2001,151.0,23.0,30.0,23.0,8.0,16.0,366.0,168.0,11.0,65.0,69.0,1543.0,7.0,118.0,24.0,154.0,270.0,4125.0
ANDHRA PRADESH,CHITTOOR,2001,101.0,27.0,34.0,25.0,4.0,14.0,723.0,156.0,33.0,209.0,38.0,2088.0,14.0,112.0,83.0,186.0,404.0,5818.0
ANDHRA PRADESH,KADAPA,2001,80.0,20.0,20.0,5.0,1.0,4.0,173.0,164.0,12.0,37.0,23.0,795.0,17.0,126.0,38.0,57.0,233.0,3140.0
ANDHRA PRADESH,EAST GODAVARI,2001,82.0,23.0,26.0,23.0,4.0,25.0,1021.0,70.0,50.0,220.0,41.0,1244.0,12.0,109.0,58.0,247.0,431.0,6507.0
ANDHRA PRADESH,ANANTAPUR,2001,3.0,,,,5.0,2.0,162.0,1.0,,,,1.0,,1.0,,,4.0,287.0
ANDHRA PRADESH,GUNTUR,2001,182.0,54.0,51.0,31.0,16.0,59.0,1122.0,244.0,67.0,300.0,43.0,1792.0,7.0,139.0,129.0,378.0,369.0,7848.0
ANDHRA PRADESH,HYDERABAD,2001,111.0,37.0,39.0,41.0,13.0,67.0,2792.0,65.0,101.0,1293.0,,3137.0,24.0,118.0,27.0,746.0,409.0,11831.0
ANDHRA PRADESH,KARIMNAGAR,2001,162.0,56.0,49.0,18.0,27.0,50.0,392.0,220.0,25.0,243.0,33.0,1392.0,62.0,414.0,81.0,224.0,322.0,5811.0
ANDHRA PRADESH,KHAMMAM,2001,93.0,47.0,30.0,11.0,1.0,13.0,368.0,153.0,35.0,130.0,73.0,1026.0,17.0,180.0,336.0,172.0,209.0,4582.0
ANDHRA PRADESH,KRISHNA,2001,65.0,37.0,21.0,15.0,3.0,15.0,478.0,70.0,24.0,104.0,62.0,1985.0,10.0,208.0,72.0,265.0,268.0,4779.0
ANDHRA PRADESH,KURNOOL,2001,133.0,29.0,47.0,,6.0,22.0,297.0,84.0,6.0,126.0,5.0,1547.0,13.0,141.0,107.0,92.0,292.0,4581.0
ANDHRA PRADESH,MAHBUBNAGAR,2001,157.0,59.0,27.0,15.0,8.0,27.0,316.0,157.0,22.0,84.0,,867.0,14.0,176.0,41.0,69.0,280.0,4819.0
